[06-Dec-2012 01:50:13 UTC] PHP Notice:  Undefined index: docIds in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\AjaxListener.php on line 73
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 30
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Undefined variable: docElements in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 31
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 31
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 31
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Undefined variable: docElements in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 32
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 32
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 32
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Undefined variable: docElements in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 33
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 33
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Undefined variable: docElements in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 34
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 34
[06-Dec-2012 02:25:52 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 34
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Undefined variable: docElements in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 35
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 35
[06-Dec-2012 02:25:52 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 35
[06-Dec-2012 02:30:09 UTC] PHP Notice:  Use of undefined constant VIEWS_ROOT - assumed 'VIEWS_ROOT' in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 9
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(VIEWS_ROOTMediaBrowser.php): failed to open stream: No such file or directory in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 9
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(): Failed opening 'VIEWS_ROOTMediaBrowser.php' for inclusion (include_path='.;C:\php\pear') in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 9
[06-Dec-2012 02:30:09 UTC] PHP Notice:  Use of undefined constant VIEWS_ROOT - assumed 'VIEWS_ROOT' in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 10
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(VIEWS_ROOTMediaBrowser_Media.php): failed to open stream: No such file or directory in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 10
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(): Failed opening 'VIEWS_ROOTMediaBrowser_Media.php' for inclusion (include_path='.;C:\php\pear') in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 10
[06-Dec-2012 02:30:09 UTC] PHP Notice:  Use of undefined constant VIEWS_ROOT - assumed 'VIEWS_ROOT' in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 11
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(VIEWS_ROOTMediaList.php): failed to open stream: No such file or directory in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 11
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(): Failed opening 'VIEWS_ROOTMediaList.php' for inclusion (include_path='.;C:\php\pear') in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 11
[06-Dec-2012 02:30:09 UTC] PHP Notice:  Use of undefined constant VIEWS_ROOT - assumed 'VIEWS_ROOT' in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 12
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(VIEWS_ROOTMediaItem.php): failed to open stream: No such file or directory in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 12
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(): Failed opening 'VIEWS_ROOTMediaItem.php' for inclusion (include_path='.;C:\php\pear') in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 12
[06-Dec-2012 02:30:09 UTC] PHP Notice:  Use of undefined constant VIEWS_ROOT - assumed 'VIEWS_ROOT' in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 13
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(VIEWS_ROOTListItem.php): failed to open stream: No such file or directory in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 13
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(): Failed opening 'VIEWS_ROOTListItem.php' for inclusion (include_path='.;C:\php\pear') in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 13
[06-Dec-2012 02:30:09 UTC] PHP Notice:  Use of undefined constant VIEWS_ROOT - assumed 'VIEWS_ROOT' in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 14
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(VIEWS_ROOTUploadScreen.php): failed to open stream: No such file or directory in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 14
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(): Failed opening 'VIEWS_ROOTUploadScreen.php' for inclusion (include_path='.;C:\php\pear') in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 14
[06-Dec-2012 02:30:09 UTC] PHP Notice:  Use of undefined constant VIEWS_ROOT - assumed 'VIEWS_ROOT' in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 9
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(VIEWS_ROOTMediaBrowser.php): failed to open stream: No such file or directory in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 9
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(): Failed opening 'VIEWS_ROOTMediaBrowser.php' for inclusion (include_path='.;C:\php\pear') in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 9
[06-Dec-2012 02:30:09 UTC] PHP Notice:  Use of undefined constant VIEWS_ROOT - assumed 'VIEWS_ROOT' in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 10
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(VIEWS_ROOTMediaBrowser_Media.php): failed to open stream: No such file or directory in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 10
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(): Failed opening 'VIEWS_ROOTMediaBrowser_Media.php' for inclusion (include_path='.;C:\php\pear') in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 10
[06-Dec-2012 02:30:09 UTC] PHP Notice:  Use of undefined constant VIEWS_ROOT - assumed 'VIEWS_ROOT' in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 11
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(VIEWS_ROOTMediaList.php): failed to open stream: No such file or directory in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 11
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(): Failed opening 'VIEWS_ROOTMediaList.php' for inclusion (include_path='.;C:\php\pear') in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 11
[06-Dec-2012 02:30:09 UTC] PHP Notice:  Use of undefined constant VIEWS_ROOT - assumed 'VIEWS_ROOT' in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 12
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(VIEWS_ROOTMediaItem.php): failed to open stream: No such file or directory in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 12
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(): Failed opening 'VIEWS_ROOTMediaItem.php' for inclusion (include_path='.;C:\php\pear') in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 12
[06-Dec-2012 02:30:09 UTC] PHP Notice:  Use of undefined constant VIEWS_ROOT - assumed 'VIEWS_ROOT' in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 13
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(VIEWS_ROOTListItem.php): failed to open stream: No such file or directory in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 13
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(): Failed opening 'VIEWS_ROOTListItem.php' for inclusion (include_path='.;C:\php\pear') in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 13
[06-Dec-2012 02:30:09 UTC] PHP Notice:  Use of undefined constant VIEWS_ROOT - assumed 'VIEWS_ROOT' in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 14
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(VIEWS_ROOTUploadScreen.php): failed to open stream: No such file or directory in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 14
[06-Dec-2012 02:30:09 UTC] PHP Warning:  include(): Failed opening 'VIEWS_ROOTUploadScreen.php' for inclusion (include_path='.;C:\php\pear') in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 14
[06-Dec-2012 02:30:10 UTC] PHP Notice:  Use of undefined constant VIEWS_ROOT - assumed 'VIEWS_ROOT' in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 9
[06-Dec-2012 02:30:10 UTC] PHP Warning:  include(VIEWS_ROOTMediaBrowser.php): failed to open stream: No such file or directory in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 9
[06-Dec-2012 02:30:10 UTC] PHP Warning:  include(): Failed opening 'VIEWS_ROOTMediaBrowser.php' for inclusion (include_path='.;C:\php\pear') in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 9
[06-Dec-2012 02:30:10 UTC] PHP Notice:  Use of undefined constant VIEWS_ROOT - assumed 'VIEWS_ROOT' in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 10
[06-Dec-2012 02:30:10 UTC] PHP Warning:  include(VIEWS_ROOTMediaBrowser_Media.php): failed to open stream: No such file or directory in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 10
[06-Dec-2012 02:30:10 UTC] PHP Warning:  include(): Failed opening 'VIEWS_ROOTMediaBrowser_Media.php' for inclusion (include_path='.;C:\php\pear') in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 10
[06-Dec-2012 02:30:10 UTC] PHP Notice:  Use of undefined constant VIEWS_ROOT - assumed 'VIEWS_ROOT' in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 11
[06-Dec-2012 02:30:10 UTC] PHP Warning:  include(VIEWS_ROOTMediaList.php): failed to open stream: No such file or directory in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Media.php on line 11
